interaction_id,user_id,hotel_id,interaction_type,timestamp,session_id
INT_00244,USER_467,HOTEL_497,favourite,2025-07-18 14:50:16,SESSION_01605
INT_00245,USER_036,HOTEL_271,click,2025-06-15 00:36:14,SESSION_00002
INT_00246,USER_284,HOTEL_054,search,2025-07-01 00:26:25,SESSION_00446
INT_00247,USER_327,HOTEL_155,search,2025-06-17 18:35:19,SESSION_00004
INT_00248,USER_507,HOTEL_205,book,2025-08-22 08:17:10,SESSION_00261
INT_00249,USER_724,HOTEL_105,book,2025-08-27 15:07:04,SESSION_01136
INT_00250,USER_306,HOTEL_009,view,2025-07-14 09:01:34,SESSION_00917
INT_00251,USER_164,HOTEL_008,view,2025-07-23 19:57:03,SESSION_00979
INT_00252,USER_738,HOTEL_428,click,2025-07-31 05:31:32,SESSION_01580
INT_00253,USER_094,HOTEL_146,view,2025-08-01 16:09:12,SESSION_01207
INT_00254,USER_027,HOTEL_152,favourite,2025-07-31 14:56:24,SESSION_00385
INT_00255,USER_270,HOTEL_190,click,2025-08-28 16:14:57,SESSION_01330
INT_00256,USER_656,HOTEL_004,favourite,2025-08-24 16:08:45,SESSION_00466
INT_00257,USER_926,HOTEL_477,book,2025-06-29 20:23:53,SESSION_00056
INT_00258,USER_662,HOTEL_437,search,2025-07-06 16:04:03,SESSION_00356
INT_00259,USER_236,HOTEL_272,click,2025-06-16 12:23:01,SESSION_00722
INT_00260,USER_460,HOTEL_258,view,2025-07-08 09:16:28,SESSION_00314
INT_00261,USER_404,HOTEL_462,view,2025-06-19 07:41:51,SESSION_00736
INT_00262,USER_296,HOTEL_326,book,2025-06-09 19:27:26,SESSION_01035
INT_00263,USER_258,HOTEL_156,favourite,2025-06-14 02:34:26,SESSION_01445
INT_00264,USER_730,HOTEL_311,search,2025-07-07 10:36:23,SESSION_00102
INT_00265,USER_119,HOTEL_069,click,2025-08-11 21:32:57,SESSION_01417
INT_00266,USER_181,HOTEL_064,view,2025-09-01 18:34:32,SESSION_00626
INT_00267,USER_699,HOTEL_380,click,2025-07-06 19:55:36,SESSION_01546
INT_00268,USER_430,HOTEL_255,view,2025-07-30 00:51:43,SESSION_01189
INT_00269,USER_675,HOTEL_460,click,2025-06-06 08:25:24,SESSION_01488
INT_00270,USER_731,HOTEL_229,click,2025-06-06 13:27:47,SESSION_00894
INT_00271,USER_740,HOTEL_458,view,2025-08-04 22:31:21,SESSION_00563
INT_00272,USER_194,HOTEL_210,book,2025-08-04 04:47:48,SESSION_01489
INT_00273,USER_204,HOTEL_311,view,2025-07-19 17:24:39,SESSION_01539
INT_00274,USER_191,HOTEL_116,view,2025-07-18 04:44:47,SESSION_00987
INT_00275,USER_312,HOTEL_390,view,2025-07-17 07:37:21,SESSION_01603
INT_00276,USER_255,HOTEL_164,view,2025-08-08 00:08:21,SESSION_00416
INT_00277,USER_034,HOTEL_155,book,2025-06-26 00:29:53,SESSION_00482
INT_00278,USER_550,HOTEL_283,click,2025-07-27 12:59:09,SESSION_00708
INT_00279,USER_841,HOTEL_424,click,2025-07-02 02:21:11,SESSION_00816
INT_00280,USER_968,HOTEL_411,view,2025-06-12 13:04:57,SESSION_01556
INT_00281,USER_975,HOTEL_329,view,2025-06-15 01:44:13,SESSION_01650
INT_00282,USER_242,HOTEL_229,search,2025-08-03 00:44:44,SESSION_00582
INT_00283,USER_298,HOTEL_413,favourite,2025-06-29 00:11:40,SESSION_01019
INT_00284,USER_290,HOTEL_485,search,2025-08-11 16:47:51,SESSION_00948
INT_00285,USER_202,HOTEL_056,book,2025-08-19 03:57:52,SESSION_00775
INT_00286,USER_856,HOTEL_371,click,2025-07-24 18:32:52,SESSION_00175
INT_00287,USER_808,HOTEL_134,book,2025-07-27 16:01:23,SESSION_00671
INT_00288,USER_900,HOTEL_449,view,2025-07-24 20:33:09,SESSION_00596
INT_00289,USER_618,HOTEL_135,view,2025-07-18 19:29:37,SESSION_00715
INT_00290,USER_413,HOTEL_235,view,2025-08-12 11:19:57,SESSION_00989
INT_00291,USER_868,HOTEL_276,search,2025-06-08 22:43:34,SESSION_00564
INT_00292,USER_782,HOTEL_017,click,2025-07-24 09:51:52,SESSION_01304
INT_00293,USER_256,HOTEL_399,search,2025-07-31 18:00:47,SESSION_01503
INT_00294,USER_682,HOTEL_085,click,2025-07-28 21:02:38,SESSION_00923
INT_00295,USER_659,HOTEL_197,favourite,2025-08-10 04:21:07,SESSION_01171
INT_00296,USER_870,HOTEL_124,view,2025-07-14 16:57:55,SESSION_01352
INT_00297,USER_069,HOTEL_253,view,2025-08-28 05:17:16,SESSION_00139
INT_00298,USER_937,HOTEL_163,book,2025-07-30 07:28:11,SESSION_01347
INT_00299,USER_761,HOTEL_495,click,2025-07-20 20:55:27,SESSION_00473
INT_00300,USER_962,HOTEL_082,view,2025-08-21 04:08:56,SESSION_01260
INT_00301,USER_324,HOTEL_144,click,2025-07-17 02:54:35,SESSION_01024
INT_00302,USER_610,HOTEL_489,click,2025-08-04 21:12:19,SESSION_01483
INT_00303,USER_350,HOTEL_484,book,2025-08-12 21:48:50,SESSION_01427
INT_00304,USER_136,HOTEL_490,favourite,2025-08-05 20:23:56,SESSION_00913
INT_00305,USER_143,HOTEL_375,view,2025-06-20 07:03:41,SESSION_00203
INT_00306,USER_940,HOTEL_197,view,2025-07-31 01:18:01,SESSION_01270
INT_00307,USER_943,HOTEL_415,favourite,2025-08-17 00:29:57,SESSION_01454
INT_00308,USER_174,HOTEL_289,favourite,2025-06-26 05:51:15,SESSION_00805
INT_00309,USER_936,HOTEL_170,click,2025-08-17 20:23:03,SESSION_00018
INT_00310,USER_760,HOTEL_072,view,2025-06-21 04:43:05,SESSION_01303
INT_00311,USER_668,HOTEL_228,view,2025-08-10 21:09:40,SESSION_00900
INT_00312,USER_892,HOTEL_176,search,2025-06-11 23:59:23,SESSION_01553
INT_00313,USER_160,HOTEL_218,click,2025-07-28 02:27:17,SESSION_00863
INT_00314,USER_955,HOTEL_312,view,2025-08-22 19:46:38,SESSION_01109
INT_00315,USER_272,HOTEL_029,favourite,2025-07-23 13:18:19,SESSION_00438
INT_00316,USER_678,HOTEL_379,click,2025-07-16 22:16:36,SESSION_01434
INT_00317,USER_900,HOTEL_392,view,2025-08-08 01:48:58,SESSION_00342
INT_00318,USER_056,HOTEL_373,click,2025-08-06 21:54:35,SESSION_00544
INT_00319,USER_049,HOTEL_406,book,2025-06-20 11:09:14,SESSION_00486
INT_00320,USER_123,HOTEL_062,click,2025-06-27 10:43:19,SESSION_00500
INT_00321,USER_408,HOTEL_301,view,2025-06-22 04:14:44,SESSION_01244
INT_00322,USER_968,HOTEL_141,click,2025-09-02 03:49:59,SESSION_00799
INT_00323,USER_969,HOTEL_015,favourite,2025-08-15 14:21:04,SESSION_01599
INT_00324,USER_430,HOTEL_136,book,2025-07-19 08:19:13,SESSION_00981
INT_00325,USER_003,HOTEL_175,view,2025-08-11 16:20:55,SESSION_01227
INT_00326,USER_719,HOTEL_028,favourite,2025-08-31 12:52:53,SESSION_01069
INT_00327,USER_171,HOTEL_154,view,2025-08-30 12:52:37,SESSION_00093
INT_00328,USER_071,HOTEL_206,click,2025-07-09 10:30:32,SESSION_00880
INT_00329,USER_721,HOTEL_141,book,2025-07-01 16:03:14,SESSION_00303
INT_00330,USER_154,HOTEL_455,view,2025-07-28 17:03:49,SESSION_00236
