hotel_id,city_id,hotel_name,rating,price_band,tags,popularity_score
HOTEL_028,CITY_022,Panorama Executive Suites,4.5,mid,"Room Service,Indoor Activities,Mini Bar,Shopping District",20
HOTEL_029,CITY_048,Boutique Crown Hotel,3.0,mid,"Game Room,Full Board,Pool Service,Mid-Range",174
HOTEL_030,CITY_035,Artisan Heights Hotel,4.5,budget,"Jacuzzi,Rooftop Bar,Babysitting",213
HOTEL_031,CITY_041,Downtown Crown Resort,4.5,luxury,"Pet Friendly,Scenic Location,Outdoor Pool,Valet Parking,Beach Service,Luxury",-24
HOTEL_032,CITY_016,Nature Crown Resort,4.0,luxury,"Beach Service,Air Conditioning,Garden View,Business Lounge,Buffet,Indoor Pool",-10
HOTEL_033,CITY_044,Mountain Plaza Resort,5.0,luxury,"Accessible,Valet Parking,Pet Friendly,Beach Service",46
HOTEL_034,CITY_023,Riverside Royal Resort,4.5,luxury,"Mountain View,Laundry Service,Water Sports,Golf Course,Half Board,Airport Nearby",173
HOTEL_035,CITY_036,Ultimate Royal Hotel,3.5,luxury,"Financial District,Quiet Area,A la Carte,Inn,4 Star",-4
HOTEL_036,CITY_037,Royal Elite Resort,3.5,mid,"Indoor Pool,Boardroom,Shopping District,Minibar,City Center",49
HOTEL_037,CITY_034,Premier Crown Resort,4.5,luxury,"USB Charging,Terrace,Train Station Nearby,City View,Laundry Service",67
HOTEL_038,CITY_012,Supreme Crown Resort,4.0,luxury,"Inn,Printing Services,Translation Services,Yoga Classes,Phone,4 Star",64
HOTEL_039,CITY_015,Marina Royal Resort,3.0,luxury,"Phone,Kitchenette,Financial District,Tennis Court,Laundry Service",69
HOTEL_040,CITY_010,Tropical Royal Hotel,3.0,budget,"Massage,Train Station Nearby,High Speed Internet,Business Lounge,Fitness Center",91
HOTEL_041,CITY_033,Nature Crown Resort,3.0,mid,"Ski In Ski Out,Motel,Premium,Jacuzzi,Outdoor Pool,Business Center",-3
HOTEL_042,CITY_022,Designer Crown Hotel,3.5,budget,"Restaurant,Hotel,Early Check In,Translation Services,Deluxe,Airport Transfer",183
HOTEL_043,CITY_031,Tropical Heights Hotel,3.0,luxury,"Beachfront,USB Charging,Garden,5 Star,Outdoor Pool,Tour Desk",37
HOTEL_044,CITY_023,Garden Plaza Resort,3.0,mid,"Family Rooms,Fireplace,Business Hotel,Tour Desk,Coffee Maker,Outdoor Activities",87
HOTEL_045,CITY_047,Elite Plaza Hotel,3.0,luxury,"Mid-Range,Coffee Maker,Pool Service,Premium",-14
HOTEL_046,CITY_045,Dune Heights Hotel,3.5,luxury,"Terrace,Secretarial Services,Meditation Area,Resort,Airport Transfer,Minibar",16
HOTEL_047,CITY_008,Oasis Heights Resort,3.0,budget,"Indoor Activities,City Center,A la Carte,Minibar,Garden",52
HOTEL_048,CITY_001,Stylish Royal Resort,4.5,mid,"Water Sports,Heated Pool,Tour Desk,Extended Stay,City Center,USB Charging",-16
HOTEL_049,CITY_007,Midtown Crown Hotel,2.5,budget,"4 Star,Economy,3 Star",81
HOTEL_050,CITY_004,Midtown Central Suites,5.0,budget,"Presentation Equipment,Printing Services,Car Rental,Quiet Area",54
HOTEL_051,CITY_016,Ultimate Central Suites,3.5,luxury,"Deluxe,24 Hour Dining,Hotel",12
HOTEL_052,CITY_048,Forest Royal Resort,4.5,mid,"Late Check Out,Valet Parking,Translation Services,Shared Bathroom,Standard",5
HOTEL_053,CITY_039,Executive Heights Hotel,3.5,luxury,"Tour Desk,Historic District,Economy,Fireplace,Executive Floor",125
HOTEL_054,CITY_010,Downtown Plaza Hotel,3.5,mid,"Game Room,Airport Transfer,Connecting Rooms,Smart TV",4
HOTEL_055,CITY_043,Nature Plaza Hotel,3.5,mid,"Massage,Beachfront,Beach Access,Business Hotel,Coffee Maker",5
HOTEL_056,CITY_040,Business Heights Hotel,3.0,luxury,"Business Hotel,Safe,Buffet",77
HOTEL_057,CITY_029,Sahara Heights Hotel,3.0,luxury,"Terrace Dining,Deluxe,Garden,Shared Bathroom,Executive Floor",83
HOTEL_058,CITY_019,Mirage Royal Resort,2.5,budget,"5 Star,Entertainment District,City Center,Non Smoking",14
HOTEL_059,CITY_044,Mountain Royal Hotel,3.5,mid,"Coffee Maker,Economy,Late Check Out,Non Smoking",10
HOTEL_060,CITY_014,Executive Heights Hotel,2.0,luxury,"Presentation Equipment,Fax Service,In-Room Dining,City Center,Non Smoking",77
HOTEL_061,CITY_042,Marina Heights Hotel,4.0,mid,"24 Hour Dining,Terrace,Business Hotel,Concierge,Garden",60
HOTEL_062,CITY_050,Artisan Heights Hotel,4.5,mid,"Terrace,Mid-Range,Ticket Service,Mini Bar",6
HOTEL_063,CITY_006,Green Plaza Hotel,3.5,mid,"Garden View,Mini Bar,Restaurant,Non Smoking,24 Hour Dining",339
HOTEL_064,CITY_043,Boutique Plaza Hotel,1.0,mid,"24 Hour Dining,Shared Bathroom,Outdoor Activities",2
HOTEL_065,CITY_037,Stylish Crown Hotel,3.0,luxury,"Luxury,Meditation Area,Air Conditioning",100
HOTEL_066,CITY_002,Mirage Plaza Hotel,4.5,mid,"A la Carte,Water Sports,Car Rental",97
HOTEL_067,CITY_026,Peak Heights Hotel,3.0,mid,"Business Lounge,Outdoor Pool,Waterfront",49
HOTEL_068,CITY_011,Ridge Heights Hotel,4.0,mid,"Hostel,Secretarial Services,Fax Service,Continental Breakfast",-16
HOTEL_069,CITY_013,Panorama Plaza Resort,3.0,budget,"24 Hour Dining,Refrigerator,Ocean View,Conference Facilities,Accessible,Beachfront",-28
HOTEL_070,CITY_049,Supreme Executive Suites,1.5,luxury,"Resort,Translation Services,USB Charging,Historic District,Game Room",34
HOTEL_071,CITY_049,Paradise Plaza Resort,3.5,mid,"Suite Hotel,Early Check In,Bluetooth Speaker,Child Friendly,Cable TV,Accessible",8
HOTEL_072,CITY_014,Island Royal Resort,3.0,budget,"Indoor Activities,Outdoor Activities,Bar,Inn,Indoor Pool,Airport Nearby",57
HOTEL_073,CITY_005,Ridge Heights Hotel,3.0,luxury,"Mid-Range,Boardroom,Laundry Service,Economy",36
HOTEL_074,CITY_012,Panorama Plaza Resort,4.0,budget,"3 Star,Game Room,Deluxe",-27
HOTEL_075,CITY_034,Prestige Crown Resort,3.5,luxury,"Bike Rental,Mini Bar,Refrigerator,Jacuzzi,Fitness Center",951
HOTEL_076,CITY_023,Majestic Plaza Resort,4.0,luxury,"Motel,Conference Facilities,Printing Services,Laundry Service,Babysitting",197
HOTEL_077,CITY_008,Vista Elite Suites,3.5,mid,"Free WiFi,Family Rooms,Early Check In,3 Star",75
HOTEL_078,CITY_026,Island Plaza Hotel,3.5,mid,"Steam Room,Non Smoking,Smart TV",7
HOTEL_079,CITY_033,Panorama Plaza Hotel,1.5,budget,"Fax Service,Ticket Service,Jacuzzi",47
HOTEL_080,CITY_036,Luxury Plaza Hotel,4.0,mid,"Wellness Center,Golf Course,Air Conditioning,Continental Breakfast",72
HOTEL_081,CITY_016,Panorama Plaza Hotel,3.5,luxury,"Meeting Rooms,Wellness Center,Train Station Nearby",-6
HOTEL_082,CITY_003,Prestige Crown Resort,3.0,mid,"Garden,A la Carte,Phone,Pet Friendly",50
HOTEL_083,CITY_039,Summit Heights Resort,1.5,mid,"Fireplace,Library,Swimming Pool,Air Conditioning,Suite Hotel,Private Bathroom",51
HOTEL_084,CITY_023,Professional Crown Hotel,3.5,budget,"Jacuzzi,Mini Bar,Bar,Early Check In,Golf Course,Fireplace",8
HOTEL_085,CITY_026,Garden Crown Resort,3.5,mid,"24 Hour Dining,Early Check In,Valet Parking,Indoor Pool",112
HOTEL_086,CITY_004,Professional Plaza Resort,4.5,luxury,"Massage,Jacuzzi,Half Board",167
HOTEL_087,CITY_045,Artisan Crown Resort,4.0,mid,"Historic District,Waterfront,Business Center",2
HOTEL_088,CITY_047,Alpine Crown Hotel,3.0,luxury,"3 Star,Translation Services,Mini Bar,Playground,Laundry Service",-5
HOTEL_089,CITY_033,Royal Plaza Hotel,5.0,luxury,"Work Desk,Fireplace,Half Board",15
HOTEL_090,CITY_015,Majestic Plaza Resort,4.0,luxury,"Balcony,All Inclusive,Continental Breakfast,Inn,Conference Facilities",19
HOTEL_091,CITY_043,Park Crown Hotel,4.0,budget,"Ski In Ski Out,Lodge,Kitchenette,Refrigerator,Mini Bar",307
HOTEL_092,CITY_027,Seaside Royal Resort,2.5,mid,"Safe,Meditation Area,A la Carte",80
HOTEL_093,CITY_047,Designer Royal Hotel,3.5,luxury,"Shared Bathroom,Presentation Equipment,Jacuzzi,In-Room Dining",94
HOTEL_094,CITY_014,Peak Crown Resort,4.0,mid,"Heating,Jacuzzi,Meditation Area,Presentation Equipment",92
HOTEL_095,CITY_032,Downtown Royal Hotel,3.0,mid,"Budget,Economy,Executive Floor,Tennis Court",9
HOTEL_096,CITY_005,Professional Crown Hotel,4.0,mid,"Premium,Restaurant,Boardroom,Shared Bathroom,Terrace Dining,Smoking Allowed",78
HOTEL_097,CITY_013,Tropical Crown Resort,4.0,mid,"Kids Club,Hotel,Quiet Area,Airport Nearby",62
HOTEL_098,CITY_021,Boutique Plaza Hotel,4.5,mid,"Heating,Air Conditioning,A la Carte,Dry Cleaning",24
HOTEL_099,CITY_002,Dawn Heights Resort,3.0,budget,"Fitness Center,Steam Room,Meeting Rooms,In-Room Dining",141
HOTEL_100,CITY_011,Elite Central Hotel,3.0,mid,"Car Rental,Extended Stay,Early Check In,Balcony,Mini Bar",66
HOTEL_101,CITY_021,Ocean Royal Hotel,2.0,luxury,"3 Star,Phone,Refrigerator",32
HOTEL_102,CITY_043,Midtown Plaza Resort,4.5,mid,"Smoking Allowed,Shared Bathroom,5 Star,Airport Transfer,Fireplace",-4
HOTEL_103,CITY_003,Sunrise Royal Hotel,3.0,mid,"Indoor Pool,Room Service,Inn,City View,Coffee Maker",30
HOTEL_104,CITY_033,Mountain Heights Hotel,3.0,budget,"Meditation Area,Hotel,Conference Facilities,Extended Stay,Terrace",78
HOTEL_105,CITY_030,Elite Central Hotel,2.5,luxury,"Spa,Fireplace,Rooftop Bar",-15
HOTEL_106,CITY_012,Horizon Royal Hotel,3.5,luxury,"Secretarial Services,Child Friendly,Quiet Area",23
HOTEL_107,CITY_025,Waterfront Elite Hotel,3.5,budget,"Pool Bar,Conference Facilities,Playground",88
HOTEL_108,CITY_020,Boutique Crown Hotel,3.0,budget,"Child Friendly,Bluetooth Speaker,Shared Bathroom,Financial District,High Speed Internet",72
HOTEL_109,CITY_046,Garden Plaza Resort,3.0,budget,"Continental Breakfast,Ocean View,Indoor Pool,Tour Desk",-7
HOTEL_110,CITY_040,Elite Crown Hotel,4.0,mid,"Mid-Range,Garden View,Tennis Court",-2
HOTEL_111,CITY_049,Prestige Heights Hotel,4.0,mid,"Extended Stay,Hostel,Dry Cleaning,Beach Service,Kids Club",30
HOTEL_112,CITY_019,Luxury Royal Resort,3.0,mid,"Garden,Phone,A la Carte,Playground,3 Star",38
HOTEL_113,CITY_011,Supreme Crown Resort,2.0,mid,"All Inclusive,Ski In Ski Out,Kids Club,Terrace",230
HOTEL_114,CITY_040,Luxury Heights Hotel,4.5,mid,"Indoor Activities,Mountain View,In-Room Dining,Extended Stay,Continental Breakfast",34
HOTEL_115,CITY_024,Commerce Royal Hotel,3.5,mid,"Entertainment District,Shared Bathroom,Meditation Area",163
HOTEL_116,CITY_008,Stylish Heights Resort,4.5,luxury,"Refrigerator,Buffet,Half Board",69
HOTEL_117,CITY_047,Imperial Palace Hotel,3.0,budget,"Pool Service,High Speed Internet,Meditation Area",69
HOTEL_118,CITY_020,Prestige Heights Hotel,4.0,budget,"Pool Service,Library,Balcony,Bike Rental,Minibar",83
HOTEL_119,CITY_037,Luxury Crown Hotel,4.0,budget,"Kitchenette,Economy,Laundry Service,Refrigerator",33
HOTEL_120,CITY_009,Palm Crown Hotel,2.5,budget,"Non Smoking,Jacuzzi,Fitness Center",107
HOTEL_121,CITY_041,Sahara Royal Resort,5.0,budget,"Family Rooms,Fitness Center,All Inclusive,Beach Service,Hotel,Restaurant",84
HOTEL_122,CITY_011,Premier Plaza Hotel,3.0,luxury,"Buffet,Financial District,Entertainment District",22
HOTEL_123,CITY_029,Peak Plaza Hotel,4.5,mid,"All Inclusive,Deluxe,Boardroom,Dry Cleaning,Secretarial Services",18
HOTEL_124,CITY_024,Premium Heights Hotel,3.5,luxury,"Massage,Jacuzzi,Accessible",12
HOTEL_125,CITY_038,Sunset Elite Suites,4.0,budget,"Work Desk,Budget,Phone,Ocean View,Connecting Rooms",54
HOTEL_126,CITY_028,Paradise Plaza Resort,4.0,budget,"Quiet Area,Heated Pool,Connecting Rooms,Airport Transfer,Refrigerator,Garden",50
HOTEL_127,CITY_007,Seaside Heights Resort,4.0,budget,"Fitness Center,Business Lounge,Deluxe,Hostel",-27
HOTEL_128,CITY_006,Marina Crown Hotel,4.0,budget,"Shared Bathroom,Indoor Activities,Half Board",56
HOTEL_129,CITY_038,Premier Plaza Hotel,3.5,budget,"Meditation Area,Historic District,Air Conditioning,Entertainment District,5 Star",177
HOTEL_130,CITY_048,Garden Plaza Resort,2.5,budget,"Indoor Activities,Inn,Fitness Center,Early Check In,Free WiFi,Conference Facilities",-10
HOTEL_131,CITY_036,Commerce Crown Resort,3.0,luxury,"Motel,Tennis Court,Full Board,Library",269
HOTEL_132,CITY_019,Nature Heights Hotel,3.0,budget,"Dry Cleaning,Ocean View,Garden,Room Service,Smart TV,Meditation Area",58
HOTEL_133,CITY_005,Riverside Plaza Hotel,2.5,mid,"Concierge,Rooftop Bar,Waterfront,Buffet,24 Hour Dining",-17
HOTEL_134,CITY_016,Professional Plaza Resort,4.5,mid,"Smoking Allowed,Non Smoking,Sauna,Entertainment District,Airport Nearby,Hotel",36
HOTEL_135,CITY_040,Central Crown Hotel,3.0,luxury,"Shared Bathroom,Smart TV,Yoga Classes,Hot Tub",32
HOTEL_136,CITY_049,Oasis Crown Hotel,4.5,mid,"Steam Room,Bike Rental,Hostel,3 Star,Garden View",75
HOTEL_137,CITY_042,Boutique Royal Resort,4.5,luxury,"Standard,Meeting Rooms,Extended Stay",64
HOTEL_138,CITY_047,Executive Royal Resort,3.5,mid,"Motel,Airport Nearby,Tennis Court,Business Lounge",51
HOTEL_139,CITY_023,Business Crown Hotel,3.5,budget,"Entertainment District,Extended Stay,Babysitting,Tennis Court",7
HOTEL_140,CITY_037,Commerce Plaza Hotel,3.0,budget,"Tour Desk,Golf Course,Sauna",247
HOTEL_141,CITY_031,Premier Royal Resort,4.0,mid,"Steam Room,Outdoor Activities,Standard",55
HOTEL_142,CITY_016,Midtown Heights Resort,2.5,budget,"Train Station Nearby,Waterfront,Meditation Area,Room Service,Secretarial Services",190
HOTEL_143,CITY_023,Marina Heights Hotel,2.5,budget,"Resort,Executive Floor,Outdoor Activities,Fireplace",-12
HOTEL_144,CITY_034,Corporate Heights Hotel,3.5,budget,"5 Star,Air Conditioning,Breakfast Included",34
HOTEL_145,CITY_016,Grand Central Hotel,3.5,mid,"Indoor Activities,Executive Floor,Massage,Beachfront,Shared Bathroom",108
HOTEL_146,CITY_002,Designer Royal Hotel,2.5,mid,"City View,Heated Pool,Kids Club,Entertainment District,Waterfront",30
HOTEL_147,CITY_003,Sunrise Plaza Hotel,3.5,luxury,"Luxury,Smoking Allowed,Spa,Resort,Fitness Center",483
HOTEL_148,CITY_004,Luxury Plaza Hotel,4.0,budget,"Translation Services,Secretarial Services,3 Star,Early Check In,Car Rental",0
HOTEL_149,CITY_034,Paradise Royal Hotel,4.0,budget,"Smart TV,Mini Bar,Kids Club,Refrigerator,Tour Desk",41
HOTEL_150,CITY_043,Dawn Royal Suites,4.5,luxury,"High Speed Internet,Business Center,Rooftop Bar,Heated Pool,Outdoor Activities",45
HOTEL_151,CITY_023,Grand Crown Resort,4.5,mid,"Playground,Ocean View,Swimming Pool,Kitchenette,Babysitting",210
HOTEL_152,CITY_013,Nature Crown Resort,5.0,budget,"Connecting Rooms,Budget,Family Rooms,Suite Hotel,Valet Parking",114
HOTEL_153,CITY_031,Coastal Crown Resort,1.0,budget,"Presentation Equipment,Ocean View,Heated Pool,Half Board,Fax Service",43
HOTEL_154,CITY_049,Royal Heights Resort,3.5,mid,"Kids Club,Jacuzzi,Motel,Financial District,All Inclusive",77
HOTEL_155,CITY_038,Dawn Plaza Resort,3.5,budget,"Garden,Train Station Nearby,Outdoor Pool",49
HOTEL_156,CITY_011,Dune Heights Hotel,3.5,mid,"Swimming Pool,Hotel,Inn,Bike Rental",54
HOTEL_157,CITY_025,Stylish Plaza Resort,3.5,budget,"Ticket Service,24 Hour Dining,Entertainment District,Shared Bathroom",63
HOTEL_158,CITY_005,Riverside Royal Resort,3.0,mid,"Library,Conference Facilities,Beach Access,Entertainment District,Laundry Service",1
HOTEL_159,CITY_035,Premier Crown Resort,2.5,mid,"Refrigerator,Breakfast Included,All Inclusive,Half Board",101
HOTEL_160,CITY_043,Lagoon Heights Hotel,4.0,luxury,"Cable TV,Water Sports,Scenic Location,Mountain View,USB Charging,Golf Course",88
HOTEL_161,CITY_033,Elite Central Hotel,3.0,mid,"Indoor Pool,Game Room,Kids Club,Coffee Maker,Breakfast Included",99
HOTEL_162,CITY_016,Sunset Royal Resort,3.5,mid,"Mid-Range,Mini Bar,Luxury,Presentation Equipment,Sauna",28
HOTEL_163,CITY_043,Midtown Royal Hotel,3.0,budget,"Work Desk,Waterfront,Pool Bar,Air Conditioning,Room Service,Ticket Service",75
HOTEL_164,CITY_005,Lakeside Royal Suites,2.0,luxury,"Concierge,5 Star,Full Board,Beach Access",58
HOTEL_165,CITY_041,Garden Heights Hotel,3.0,mid,"Rooftop Bar,Scenic Location,Heating,Business Center,Library",109
HOTEL_166,CITY_028,Premier Heights Hotel,4.0,luxury,"Shared Bathroom,Translation Services,Meditation Area,Beach Access",66
HOTEL_167,CITY_031,Designer Crown Hotel,3.0,budget,"Playground,Swimming Pool,Printing Services,Translation Services,Laundry Service,Ocean View",70
HOTEL_168,CITY_011,Garden Royal Hotel,1.5,mid,"Child Friendly,Motel,Deluxe,Fax Service",39
HOTEL_169,CITY_045,Forest Plaza Resort,4.0,mid,"Business Center,Business Hotel,Beachfront",61
HOTEL_170,CITY_014,Mirage Royal Resort,3.0,luxury,"Jacuzzi,Shared Bathroom,Indoor Activities,Fireplace",82
HOTEL_171,CITY_011,Sunrise Heights Hotel,3.0,luxury,"Accessible,City View,Garden,Indoor Activities,Hotel,24 Hour Dining",192
HOTEL_172,CITY_013,Designer Crown Hotel,3.5,mid,"Cable TV,Shopping District,Heated Pool,Yoga Classes",133
HOTEL_173,CITY_007,Skyline Heights Resort,3.0,mid,"Economy,Library,Minibar",-3
HOTEL_174,CITY_019,Commerce Plaza Hotel,4.0,mid,"Secretarial Services,Translation Services,Hot Tub,24 Hour Dining,Airport Transfer,3 Star",63
HOTEL_175,CITY_019,Ultimate Royal Hotel,2.0,luxury,"Beachfront,Boutique Hotel,Buffet,Phone",1
HOTEL_176,CITY_022,Grand Royal Hotel,3.0,luxury,"Mountain View,Smart TV,Kitchenette",61
HOTEL_177,CITY_037,Grand Royal Hotel,4.0,luxury,"Free WiFi,High Speed Internet,Extended Stay,Non Smoking,Ski In Ski Out",98
HOTEL_178,CITY_048,Marina Heights Hotel,3.0,mid,"Swimming Pool,Bike Rental,Business Lounge,Babysitting",11
HOTEL_179,CITY_022,Sunset Heights Hotel,4.5,mid,"Economy,Car Rental,Kitchenette,Fax Service",19
HOTEL_180,CITY_026,Island Crown Hotel,4.0,budget,"Bluetooth Speaker,Indoor Pool,Coffee Maker,Deluxe,Spa",49
HOTEL_181,CITY_008,Chic Royal Hotel,3.0,mid,"Smart TV,Bar,Coffee Maker,Laundry Service,Dry Cleaning,Connecting Rooms",67
HOTEL_182,CITY_014,Downtown Crown Resort,3.0,budget,"Fax Service,Tennis Court,Standard,Buffet,Economy",33
HOTEL_183,CITY_031,Horizon Plaza Resort,2.0,budget,"Balcony,Airport Transfer,Business Hotel,Early Check In",127
HOTEL_184,CITY_038,Stylish Heights Resort,4.0,budget,"Presentation Equipment,Entertainment District,Outdoor Pool,Restaurant",34
HOTEL_185,CITY_026,Midtown Central Suites,3.0,budget,"24 Hour Dining,Late Check Out,Premium,Kitchenette,Secretarial Services",-18
HOTEL_186,CITY_043,Paradise Crown Hotel,5.0,budget,"Library,Mini Bar,Steam Room",56
HOTEL_187,CITY_009,Ultimate Heights Resort,5.0,mid,"Air Conditioning,Child Friendly,City Center,Jacuzzi,Beachfront",80
HOTEL_188,CITY_047,Oasis Royal Hotel,2.0,luxury,"Beach Access,Hostel,Terrace,Smart TV,4 Star",98
HOTEL_189,CITY_041,Tropical Royal Hotel,4.5,mid,"Standard,Steam Room,Swimming Pool",122
HOTEL_190,CITY_002,Chic Heights Hotel,2.5,luxury,"Translation Services,Executive Floor,In-Room Dining",122
HOTEL_191,CITY_036,Ultimate Heights Resort,3.5,luxury,"Translation Services,Family Rooms,Boardroom,Phone",103
HOTEL_192,CITY_027,Midtown Crown Hotel,2.5,budget,"Restaurant,Suite Hotel,Garden,Shared Bathroom,Heated Pool,Golf Course",85
HOTEL_193,CITY_008,Sunrise Plaza Resort,4.0,budget,"Boardroom,Resort,Wellness Center,Spa Services,Waterfront,Beach Service",-19
HOTEL_194,CITY_012,Luxury Crown Hotel,3.5,luxury,"Secretarial Services,Lodge,Mountain View",44
HOTEL_195,CITY_050,Palm Heights Hotel,4.0,budget,"Dry Cleaning,Scenic Location,Presentation Equipment,Private Bathroom,Concierge",-2
HOTEL_196,CITY_024,Paradise Heights Resort,4.5,mid,"Indoor Activities,Suite Hotel,Concierge,Meeting Rooms,Extended Stay,Continental Breakfast",16
HOTEL_197,CITY_050,Nature Heights Hotel,2.5,budget,"Tour Desk,Rooftop Bar,Motel",304
HOTEL_198,CITY_029,Imperial Palace Hotel,3.5,budget,"Tour Desk,Beach Access,Fax Service",6
HOTEL_199,CITY_030,Riverside Heights Hotel,4.5,luxury,"Private Bathroom,Yoga Classes,Dry Cleaning,USB Charging,Printing Services,Continental Breakfast",95
HOTEL_200,CITY_036,Green Crown Hotel,4.0,luxury,"Presentation Equipment,Wellness Center,Pool Service,Beach Access,Scenic Location,Concierge",1
HOTEL_201,CITY_037,Central Royal Resort,3.0,mid,"USB Charging,Sauna,5 Star,Printing Services,Connecting Rooms",266
HOTEL_202,CITY_027,Ocean Plaza Resort,3.5,luxury,"Airport Nearby,Indoor Activities,Beach Service,Beach Access",100
HOTEL_203,CITY_047,Regal Heights Hotel,3.5,luxury,"Outdoor Pool,Mini Bar,Fax Service,Presentation Equipment,Air Conditioning",13
HOTEL_204,CITY_011,Vista Royal Suites,3.5,luxury,"Translation Services,Bluetooth Speaker,Premium",-7
HOTEL_205,CITY_030,Horizon Plaza Resort,4.0,budget,"Scenic Location,Waterfront,Half Board,Boutique Hotel,Work Desk,Late Check Out",138
HOTEL_206,CITY_031,Tropical Crown Resort,3.5,budget,"Early Check In,Yoga Classes,Ocean View",27
HOTEL_207,CITY_027,Skyline Heights Resort,3.0,mid,"Garden View,Bluetooth Speaker,Spa,Ticket Service,Car Rental",-16
HOTEL_208,CITY_008,Royal Executive Hotel,4.0,budget,"In-Room Dining,Business Lounge,Pet Friendly,Fitness Center",9
HOTEL_209,CITY_015,Boutique Plaza Hotel,4.0,mid,"Shared Bathroom,Quiet Area,Pool Service,Cable TV,Deluxe",87
HOTEL_210,CITY_027,Beach Royal Hotel,4.0,mid,"Pet Friendly,Historic District,A la Carte,Hostel,Bluetooth Speaker,Playground",4
HOTEL_211,CITY_010,Lagoon Royal Resort,3.5,mid,"Smart TV,4 Star,Mountain View,Breakfast Included,Waterfront,Mini Bar",92
HOTEL_212,CITY_020,Midtown Central Suites,4.0,luxury,"Smart TV,Business Hotel,Boutique Hotel",66
HOTEL_213,CITY_025,Corporate Royal Hotel,3.5,mid,"Kids Club,Garden,Tour Desk,Cable TV",113
HOTEL_214,CITY_041,Tropical Plaza Resort,4.5,mid,"Lodge,Fitness Center,Terrace Dining,Historic District,Rooftop Bar,Inn",73
